text,label,合併後所有label,同樣text下原始所有label
"一、浩然敬老院改建中，原住於該院之長者目前安置情形為何？有多少人入住廣慈及其他地方？廣慈院區相關住房之規劃、設備預算、管理情形及管理人員人數為何？
二、浩然敬老院之改建工程預定於何時完工？目前入住廣慈之老人將於何時遷回浩然敬老院？而該部分老人遷回浩然後，目前所居住之廣慈房舍未來將做何規劃？",立浩然敬老院,['其他'],['立浩然敬老院']
"一、貴處近五年（含今年）發現民眾以假冒貴金屬典當之各年度案件為何？請列舉日期、假冒樣態（如常見「金包銀」或近年來中國盛行之「錸金詐騙」等）、損失金額、事後應處。
二、貴處防範假冒貴金屬典當之作法為何？請依各種樣態分論之。",動產質借處,['其他'],"['動產質借處', '動產質借處']"
"一、貴處近五年（含今年）發現民眾以假冒貴金屬典當之各年度案件為何？請列舉日期、假冒樣態（如常見「金包銀」或近年來中國盛行之「錸金詐騙」等）、損失金額、事後應處。
二、貴處防範假冒貴金屬典當之作法為何？請依各種樣態分論之。",動產質借處,['其他'],"['動產質借處', '動產質借處']"
"一、請提供本市現有 BOT 案件之一覽表，表內應含案名、案址、BO方及BOT契約年限、BOT契約之對價及回饋內容、主管局處。
二、請提供本市現有設定地上權案一覽表，表內應含案名、案址、設定人及契約年限、設定人提供之對價及回饋內容、主管局處。
三、以上資料免附紙本，請以 pdf 格式電子檔提供，製表者請另附 xls, xlsx 或 ods 格式表單電子檔。至紉公誼。",立動物園,"['地政局土地開發總隊', '產業發展局', '體育局', '其他', '財政局', '公共運輸處', '市場處', '文化局', '警察局']","['公共運輸處', '文化局', '市場處', '立動物園', '地政局土地開發總隊', '財政局', '產業發展局', '警察局', '體育局']"
"一、請提供貴館103年至113年每年收入。
二、請提供貴館110年至113年歷年收入組成。",立美術館,['其他'],['立美術館']
"一、請說明WOS如何成為貴館餐廳經營者。
二、請說明貴館與WOS如何分享利潤。
三、若有雙方所訂合約，請一併提供。",立美術館,['其他'],['立美術館']
"一、請說明北美館是否出售典藏，若有請說明出售方式，若無請說明理由。
二、請提供107年至113年2月，歷次美術品典藏審議委員會之會議議程、會議資料、會議紀錄，及簽到表。",立美術館,['其他'],['立美術館']
"一、請說明巡藝 ART to go如何成為貴館販賣部經營者。
二、請說明貴館與巡藝 ART to go如何分享利潤。
三、若有雙方所訂合約，請一併提供。",立美術館,['其他'],['立美術館']
"一、請說明使用貴館藝術家創作材料費預算，所為之藝術家創作成品，貴館如何保存。
二、請制表提供貴館目前所有之典藏作品名稱、作者名稱、收藏時間，及作品估值。
三、請說明貴館如何使用徵購國內外美術作品費預算。
四、請制表提供107年至112年，貴館歷年使用國內外美術作品費預算，所採購之典藏作品名稱、作者名稱、收藏時間，及購買價格。",立美術館,['其他'],['立美術館']
"一、請說明貴處如何核定電子產品質借價格。
二、請說明貴處如何核定車輛質借價格。",動產質借處,['其他'],['動產質借處']
"一、請說明貴園目前針對新設海洋教育生態園區，其擬飼育之海洋生物部分是否已有規劃。
二、承上題，預計何時開始準備海洋生物。",立動物園,['其他'],['立動物園']
"一、請說明貴館的鎮館之寶是哪樣館藏。
二、請說明鎮館之寶如何產生。
三、請制表提供貴館館藏有獲得比賽成績者，及其獲得獎項。
四、請說明貴館如何評估館藏吸引訪客能力。
五、承上題，請制表提供評估吸引訪客能力資料。",立美術館,['其他'],['立美術館']
"一、請說明蔣萬安市長拍攝「國際無車日」短片（https://www.instagram.com/p/DANJrP0tjX0/ ）違規騎乘自行車之違規事由與相關罰鍰。

二、請提供蔣萬安市長違規騎乘自行車舉發時間、開罰時間及繳納罰款時間。

索資回復請同步寄至：hcyelection2022@gmail.com",交通事件裁決所,"['其他', '警察局交通警察大隊']","['交通事件裁決所', '警察局交通警察大隊']"
"工程之營建剩餘土石方處理及交換利用作業，工程使用35噸傾卸貨車，未符契約編列使用15噸車之件數、機關及運送廠商名稱、原編列單價、實際支付單價、溢付金額、事後如何處裡、有何懲處? 工程餘土原契約運送地點、公告費率、送往臺北港運棄、機關及運送廠商名稱、公告費率、溢付金額、事後如何處裡、有何懲處? 工程土方交換地點因運距縮短未覈實調整運輸費用機關及運送廠商名稱、原運費、新運費、溢付金額、事後如何處裡、有何懲處? (以上資料請務必提供格式電子檔，製表者請另附xls,xlsx或ods格式表單電子檔，寄至email:linanon8@gmail.com)謝謝",臺北自來水事業處工程總隊,"['地政局土地開發總隊', '工務局大地工程處', '捷運工程局', '工務局新建工程處', '環境保護局', '工務局衛生下水道工程處', '其他', '工務局公園路燈工程管理處', '工務局水利工程處', '臺北翡翠水庫管理局', '工務局', '交通局', '市場處', '都市發展局']","['工務局', '工務局大地工程處', '工務局公園路燈工程管理處', '工務局水利工程處', '工務局新建工程處', '工務局衛生下水道工程處', '市場處', '交通局', '地政局土地開發總隊', '捷運工程局', '都市發展局', '臺北自來水事業處工程總隊', '臺北翡翠水庫管理局', '環境保護局']"
中正區杭州南路一段27號2樓、11樓這兩戶之二類謄本、異動索引,建成地政事務所,['其他'],['建成地政事務所']
"日前接獲陳情，陳情人林祖文機車停放於私設騎樓，遭檢舉而收3張罰單，蓋停管處立有騎樓禁止停車的牌面於該騎樓。
嗣後陳情人提示資料表示該私設騎樓地籍資料「主建物」建物分層同時登記「騎樓」及「停車場」，應有合法停車的權利。
經議員向該管分局反應後，即辦理銷單。

請市警局、裁決所提供以下資料：
2022年北市罰單的銷單數，請區分銷單原因並以表格呈現銷單數據，請提供Excel檔和PDF檔俾供後續分析運用。

議員主要想關心類似林先生的情形，因警方資訊不足開立罰單，而有開立要件錯誤、免罰等情形之狀況，請市府各單位加以檢討改進，煩請市警局和裁決所盡速提供。",交通事件裁決所,['其他'],['交通事件裁決所']
"主旨：茲因研究與問政所需，敬請 貴局協助提供庇護工場相關資料，詳見說明，請 查照見復。

說明：
一、請貴局提供111年至今，各庇護工場之營運盈虧，以各年度區分之，數據須有與前年度盈虧之比較。

二、呈上點，請貴局提供111年至今，各庇護工場之平均月薪，並以各年度區分之。

三、請貴局提供111年至今，各年度協助庇護性就業者轉銜至一般職場之人數、轉銜率。",勞動力重建運用處,['其他'],['勞動力重建運用處']
"主旨：茲因研究與問政所需，敬請 貴局協助提供相關資料，詳見說明，請 查照見復。

說明：

一、請貴局提供109年至112年臺北廣播電臺各平台（YouTube、Podcast 等）各節目、頻道之收聽數或收看數，以逐年度統計並以表格呈現，資料請一併附上該年度廣播業務預算數。

二、如對索取內容有疑義，請電本研究室或0970720169宋哲緯。",臺北廣播電臺,['其他'],['臺北廣播電臺']
"主旨:茲因問政之需要，惠請貴機關協助提供自民國108年至113年2月底止，貴機關內部各單位於各年度每季退休、免職、辭職及調遷其他機關人員數統計資料為禱，請查照。
說明:一、因問政之需要，惠請貴機關協助提供自民國108年至113年2月底止，貴機關內部各單位於各年度每季退休、免職、辭職及調遷其他機關人員數統計資料。
二、前項所稱機關內部單位者，請以貴機關內部之各科、組、課或室等為單位分別統計之。
三、並請提供貴機關各內部單位之各該年度預算員額總人數資料。",立天文科學教育館,"['工務局大地工程處', '環境保護局', '殯葬管理處', '工務局水利工程處', '觀光傳播局', '臺北大眾捷運股份有限公司', '公共運輸處', '地政局', '交通局', '社會局', '民政局', '勞動局', '交通管制工程處', '捷運工程局', '衛生局', '客家事務委員會', '家庭暴力暨性侵害防治中心', '工務局', '教育局', '警察局', '建築管理工程處', '研究發展考核委員會', '工務局新建工程處', '消防局', '體育局', '工務局公園路燈工程管理處', '動物保護處', '原住民族事務委員會', '文化局', '都市更新處', '工務局衛生下水道工程處', '產業發展局', '其他', '商業處', '停車管理工程處', '資訊局', '臺北翡翠水庫管理局', '法務局', '市場處', '環境保護局環保稽查大隊', '都市發展局']","['工務局', '工務局大地工程處', '工務局公園路燈工程管理處', '工務局水利工程處', '工務局新建工程處', '工務局衛生下水道工程處', '公共運輸處', '文化局', '市場處', '民政局', '立天文科學教育館', '立浩然敬老院', '立動物園', '交通局', '交通事件裁決所', '交通管制工程處', '地政局', '法務局', '社會局', '客家事務委員會', '建築管理工程處', '研究發展考核委員會', '原住民族事務委員會', '家庭暴力暨性侵害防治中心', '消防局', '停車管理工程處', '動物保護處', '商業處', '捷運工程局', '教育局', '教師研習中心', '產業發展局', '都市更新處', '都市發展局', '勞動力重建運用處', '勞動局', '勞動檢查處', '就業服務處', '陽明教養院', '資訊局', '臺北大眾捷運股份有限公司', '臺北翡翠水庫管理局', '衛生局', '環境保護局', '環境保護局環保稽查大隊', '殯葬管理處', '警察局', '警察局', '體育局', '觀光傳播局']"
"主旨:茲因問政之需要，惠請貴機關協助提供自民國108年至113年2月底止，貴機關內部各單位於各年度每季退休、免職、辭職及調遷其他機關人員數統計資料為禱，請查照。
說明:一、因問政之需要，惠請貴機關協助提供自民國108年至113年2月底止，貴機關內部各單位於各年度每季退休、免職、辭職及調遷其他機關人員數統計資料。
二、前項所稱機關內部單位者，請以貴機關內部之各科、組、課或室等為單位分別統計之。
三、並請提供貴機關各內部單位之各該年度預算員額總人數資料。",立浩然敬老院,"['工務局大地工程處', '環境保護局', '殯葬管理處', '工務局水利工程處', '觀光傳播局', '臺北大眾捷運股份有限公司', '公共運輸處', '地政局', '交通局', '社會局', '民政局', '勞動局', '交通管制工程處', '捷運工程局', '衛生局', '客家事務委員會', '家庭暴力暨性侵害防治中心', '工務局', '教育局', '警察局', '建築管理工程處', '研究發展考核委員會', '工務局新建工程處', '消防局', '體育局', '工務局公園路燈工程管理處', '動物保護處', '原住民族事務委員會', '文化局', '都市更新處', '工務局衛生下水道工程處', '產業發展局', '其他', '商業處', '停車管理工程處', '資訊局', '臺北翡翠水庫管理局', '法務局', '市場處', '環境保護局環保稽查大隊', '都市發展局']","['工務局', '工務局大地工程處', '工務局公園路燈工程管理處', '工務局水利工程處', '工務局新建工程處', '工務局衛生下水道工程處', '公共運輸處', '文化局', '市場處', '民政局', '立天文科學教育館', '立浩然敬老院', '立動物園', '交通局', '交通事件裁決所', '交通管制工程處', '地政局', '法務局', '社會局', '客家事務委員會', '建築管理工程處', '研究發展考核委員會', '原住民族事務委員會', '家庭暴力暨性侵害防治中心', '消防局', '停車管理工程處', '動物保護處', '商業處', '捷運工程局', '教育局', '教師研習中心', '產業發展局', '都市更新處', '都市發展局', '勞動力重建運用處', '勞動局', '勞動檢查處', '就業服務處', '陽明教養院', '資訊局', '臺北大眾捷運股份有限公司', '臺北翡翠水庫管理局', '衛生局', '環境保護局', '環境保護局環保稽查大隊', '殯葬管理處', '警察局', '警察局', '體育局', '觀光傳播局']"
"主旨:茲因問政之需要，惠請貴機關協助提供自民國108年至113年2月底止，貴機關內部各單位於各年度每季退休、免職、辭職及調遷其他機關人員數統計資料為禱，請查照。
說明:一、因問政之需要，惠請貴機關協助提供自民國108年至113年2月底止，貴機關內部各單位於各年度每季退休、免職、辭職及調遷其他機關人員數統計資料。
二、前項所稱機關內部單位者，請以貴機關內部之各科、組、課或室等為單位分別統計之。
三、並請提供貴機關各內部單位之各該年度預算員額總人數資料。",立動物園,"['工務局大地工程處', '環境保護局', '殯葬管理處', '工務局水利工程處', '觀光傳播局', '臺北大眾捷運股份有限公司', '公共運輸處', '地政局', '交通局', '社會局', '民政局', '勞動局', '交通管制工程處', '捷運工程局', '衛生局', '客家事務委員會', '家庭暴力暨性侵害防治中心', '工務局', '教育局', '警察局', '建築管理工程處', '研究發展考核委員會', '工務局新建工程處', '消防局', '體育局', '工務局公園路燈工程管理處', '動物保護處', '原住民族事務委員會', '文化局', '都市更新處', '工務局衛生下水道工程處', '產業發展局', '其他', '商業處', '停車管理工程處', '資訊局', '臺北翡翠水庫管理局', '法務局', '市場處', '環境保護局環保稽查大隊', '都市發展局']","['工務局', '工務局大地工程處', '工務局公園路燈工程管理處', '工務局水利工程處', '工務局新建工程處', '工務局衛生下水道工程處', '公共運輸處', '文化局', '市場處', '民政局', '立天文科學教育館', '立浩然敬老院', '立動物園', '交通局', '交通事件裁決所', '交通管制工程處', '地政局', '法務局', '社會局', '客家事務委員會', '建築管理工程處', '研究發展考核委員會', '原住民族事務委員會', '家庭暴力暨性侵害防治中心', '消防局', '停車管理工程處', '動物保護處', '商業處', '捷運工程局', '教育局', '教師研習中心', '產業發展局', '都市更新處', '都市發展局', '勞動力重建運用處', '勞動局', '勞動檢查處', '就業服務處', '陽明教養院', '資訊局', '臺北大眾捷運股份有限公司', '臺北翡翠水庫管理局', '衛生局', '環境保護局', '環境保護局環保稽查大隊', '殯葬管理處', '警察局', '警察局', '體育局', '觀光傳播局']"
"主旨:茲因問政之需要，惠請貴機關協助提供自民國108年至113年2月底止，貴機關內部各單位於各年度每季退休、免職、辭職及調遷其他機關人員數統計資料為禱，請查照。
說明:一、因問政之需要，惠請貴機關協助提供自民國108年至113年2月底止，貴機關內部各單位於各年度每季退休、免職、辭職及調遷其他機關人員數統計資料。
二、前項所稱機關內部單位者，請以貴機關內部之各科、組、課或室等為單位分別統計之。
三、並請提供貴機關各內部單位之各該年度預算員額總人數資料。",交通事件裁決所,"['工務局大地工程處', '環境保護局', '殯葬管理處', '工務局水利工程處', '觀光傳播局', '臺北大眾捷運股份有限公司', '公共運輸處', '地政局', '交通局', '社會局', '民政局', '勞動局', '交通管制工程處', '捷運工程局', '衛生局', '客家事務委員會', '家庭暴力暨性侵害防治中心', '工務局', '教育局', '警察局', '建築管理工程處', '研究發展考核委員會', '工務局新建工程處', '消防局', '體育局', '工務局公園路燈工程管理處', '動物保護處', '原住民族事務委員會', '文化局', '都市更新處', '工務局衛生下水道工程處', '產業發展局', '其他', '商業處', '停車管理工程處', '資訊局', '臺北翡翠水庫管理局', '法務局', '市場處', '環境保護局環保稽查大隊', '都市發展局']","['工務局', '工務局大地工程處', '工務局公園路燈工程管理處', '工務局水利工程處', '工務局新建工程處', '工務局衛生下水道工程處', '公共運輸處', '文化局', '市場處', '民政局', '立天文科學教育館', '立浩然敬老院', '立動物園', '交通局', '交通事件裁決所', '交通管制工程處', '地政局', '法務局', '社會局', '客家事務委員會', '建築管理工程處', '研究發展考核委員會', '原住民族事務委員會', '家庭暴力暨性侵害防治中心', '消防局', '停車管理工程處', '動物保護處', '商業處', '捷運工程局', '教育局', '教師研習中心', '產業發展局', '都市更新處', '都市發展局', '勞動力重建運用處', '勞動局', '勞動檢查處', '就業服務處', '陽明教養院', '資訊局', '臺北大眾捷運股份有限公司', '臺北翡翠水庫管理局', '衛生局', '環境保護局', '環境保護局環保稽查大隊', '殯葬管理處', '警察局', '警察局', '體育局', '觀光傳播局']"
"主旨:茲因問政之需要，惠請貴機關協助提供自民國108年至113年2月底止，貴機關內部各單位於各年度每季退休、免職、辭職及調遷其他機關人員數統計資料為禱，請查照。
說明:一、因問政之需要，惠請貴機關協助提供自民國108年至113年2月底止，貴機關內部各單位於各年度每季退休、免職、辭職及調遷其他機關人員數統計資料。
二、前項所稱機關內部單位者，請以貴機關內部之各科、組、課或室等為單位分別統計之。
三、並請提供貴機關各內部單位之各該年度預算員額總人數資料。",教師研習中心,"['工務局大地工程處', '環境保護局', '殯葬管理處', '工務局水利工程處', '觀光傳播局', '臺北大眾捷運股份有限公司', '公共運輸處', '地政局', '交通局', '社會局', '民政局', '勞動局', '交通管制工程處', '捷運工程局', '衛生局', '客家事務委員會', '家庭暴力暨性侵害防治中心', '工務局', '教育局', '警察局', '建築管理工程處', '研究發展考核委員會', '工務局新建工程處', '消防局', '體育局', '工務局公園路燈工程管理處', '動物保護處', '原住民族事務委員會', '文化局', '都市更新處', '工務局衛生下水道工程處', '產業發展局', '其他', '商業處', '停車管理工程處', '資訊局', '臺北翡翠水庫管理局', '法務局', '市場處', '環境保護局環保稽查大隊', '都市發展局']","['工務局', '工務局大地工程處', '工務局公園路燈工程管理處', '工務局水利工程處', '工務局新建工程處', '工務局衛生下水道工程處', '公共運輸處', '文化局', '市場處', '民政局', '立天文科學教育館', '立浩然敬老院', '立動物園', '交通局', '交通事件裁決所', '交通管制工程處', '地政局', '法務局', '社會局', '客家事務委員會', '建築管理工程處', '研究發展考核委員會', '原住民族事務委員會', '家庭暴力暨性侵害防治中心', '消防局', '停車管理工程處', '動物保護處', '商業處', '捷運工程局', '教育局', '教師研習中心', '產業發展局', '都市更新處', '都市發展局', '勞動力重建運用處', '勞動局', '勞動檢查處', '就業服務處', '陽明教養院', '資訊局', '臺北大眾捷運股份有限公司', '臺北翡翠水庫管理局', '衛生局', '環境保護局', '環境保護局環保稽查大隊', '殯葬管理處', '警察局', '警察局', '體育局', '觀光傳播局']"
